name,gu,dong,lat,lng,road_address,old_lat,old_lng,reason,confidence,source
흑석청호,동작구,흑석동,37.5019032,126.9627348,서울특별시 동작구 서달로2길 29,37.5499127,126.9514027,삼성래미안공덕4차(마포구) 좌표를 물려받음,HIGH,kakao_address_api:road_address_exact
신내엘지쌍용,중랑구,상봉동,37.6036065,127.0904026,서울특별시 중랑구 봉화산로 146,37.4886826,126.9764363,사당동 단지군 좌표를 물려받음,HIGH,kakao_address_api:road_address_exact
염창무학,강서구,염창동,37.5510150,126.8766502,서울특별시 강서구 양천로77길 45,37.5464825,127.0144609,래미안옥수리버젠(성동구) 좌표를 물려받음,HIGH,kakao_address_api:road_address_exact
상암월드컵파크4단지,마포구,상암동,37.5776672,126.8893417,서울특별시 마포구 상암산로1길 24,37.5163114,127.0484681,삼성힐스테이트1단지(강남구) 좌표를 물려받음,HIGH,kakao_address_api:road_address_exact
충정로 skview 아파트,서대문구,합동,37.5620950,126.9655959,서울특별시 서대문구 서소문로 43-8,37.4997285,127.0499952,역삼개나리푸르지오(강남구) 좌표를 물려받음,HIGH,kakao_address_api:road_address_exact
도림청구,영등포구,도림동,37.5096610,126.8954042,서울특별시 영등포구 도영로7길 7,37.549662,127.1088843,광장일신워커힐(광진구) 좌표를 물려받음,HIGH,kakao_address_api:road_address_exact
S-아파트,강남구,역삼동,37.5016819,127.0314107,서울특별시 강남구 역삼동 테헤란로 13길 31-4,37.5743808,127.0566984,"현재좌표가 동대문구 답십리동에 위치(마스터는 강남구 역삼동), 주소기준 8386m 이격",HIGH,kakao_address_api+coord2regioncode_verified
강동리엔파크 14단지 아파트,강동구,상일동,37.5510900,127.1808371,서울특별시 강동구 고덕로98길 160,37.554724,127.144817,"현재좌표가 강동구 명일동에 위치(마스터는 강동구 상일동), 주소기준 3201m 이격",HIGH,kakao_address_api+coord2regioncode_verified
강동리엔파크11단지,강동구,상일동,37.5542532,127.1806227,서울특별시 강동구 고덕로98길 101,37.554724,127.144817,"현재좌표가 강동구 명일동에 위치(마스터는 강동구 상일동), 주소기준 3157m 이격",HIGH,kakao_address_api+coord2regioncode_verified
에드가 수유 청년주택,강북구,수유동,37.6347006,127.0200086,서울특별시 강북구 덕릉로 59,37.6118759,127.0337501,"현재좌표가 강북구 미아동에 위치(마스터는 강북구 수유동), 주소기준 2812m 이격",HIGH,kakao_address_api+coord2regioncode_verified
센터스퀘어등촌,강서구,염창동,37.5507389,126.8664123,서울특별시 강서구 공항대로 543,37.5533338,126.8510294,"현재좌표가 강서구 화곡동에 위치(마스터는 강서구 염창동), 주소기준 1386m 이격",HIGH,kakao_address_api+coord2regioncode_verified
양재우성,서초구,양재동,37.4750405,127.0317990,서울특별시 서초구 바우뫼로 91,37.4655445,127.0246641,"현재좌표가 서초구 우면동에 위치(마스터는 서초구 양재동), 주소기준 1229m 이격",HIGH,kakao_address_api+coord2regioncode_verified
방화3차우림필유,강서구,방화동,37.5687133,126.8082169,서울특별시 강서구 양천로14길 118,37.5733512,126.7983185,"현재좌표가 강서구 개화동에 위치(마스터는 강서구 방화동), 주소기준 1013m 이격",HIGH,kakao_address_api+coord2regioncode_verified
송파호반베르디움더퍼스트,송파구,오금동,37.5049807,127.1396597,서울특별시 송파구 동남로 342,37.513461955,127.14273705,"현재좌표가 송파구 방이동에 위치(마스터는 송파구 오금동), 주소기준 981m 이격",HIGH,kakao_address_api+coord2regioncode_verified
쌍용스위트닷홈임대,동작구,상도동,37.5015533517985,126.931806228372,서울 동작구 상도동 418,37.537777,127.1345555,소스 자리표시자 좌표(반복숫자)로 강동구에 찍혀 있었다. 등록 지번 상도동 418 로 재지오코딩,HIGH,kakao_address_api:jibun_exact
논현베르빌,강남구,논현동,37.5127472718024,127.032722616686,서울 강남구 논현동 214-2,37.5743810,127.0566986,소스 테스트행(S-아파트)과 같은 더미 좌표를 물려받아 동대문구에 찍혀 있었다,HIGH,kakao_address_api:jibun_exact
선경301(대치동),강남구,대치동,37.4941781606738,127.060948083322,서울 강남구 대치동 602,37.538888,127.1346666,소스 자리표시자 좌표(반복숫자)로 강동구에 찍혀 있었다. 등록 지번 대치동 602 로 재지오코딩,HIGH,kakao_address_api:jibun_exact
